dv,subj_num,between,within,gender
0.341200478742687,1,young,repeat,1
2.46683837436443,2,young,repeat,1
2.90081681831034,3,young,repeat,1
1.08358370473037,4,young,repeat,0
0.530351531004937,5,young,repeat,1
1.15279506216956,6,young,repeat,1
3.45518144698087,7,young,repeat,1
-0.83386174384694,8,young,repeat,1
-0.322506806294552,9,young,repeat,1
-0.971744330133147,10,young,repeat,1
0.362324483350376,11,young,repeat,0
1.57945045265866,12,young,repeat,0
1.93569611672632,13,young,repeat,0
0.555728758685055,14,young,repeat,1
2.47156533286098,15,young,repeat,1
-0.0104634677768676,16,young,repeat,0
0.712019999314707,17,young,repeat,1
1.27168608203951,18,young,repeat,1
0.941801577472223,19,young,repeat,1
2.96932291079925,20,young,repeat,1
-0.141589253294856,21, old ,repeat,1
-0.245718445923813,22, old ,repeat,1
-0.188294751851604,23, old ,repeat,1
-0.561815395436702,24, old ,repeat,1
-0.354876356544174,25, old ,repeat,1
0.494554688444276,26, old ,repeat,1
-0.599512584466801,27, old ,repeat,0
1.3609933039549,28, old ,repeat,1
0.164481960569867,29, old ,repeat,1
1.38019992952935,30, old ,repeat,1
0.798133974153825,31, old ,repeat,1
-0.328605414631762,32, old ,repeat,0
-0.827616632170136,33, old ,repeat,0
1.71397048939468,34, old ,repeat,1
0.710523912334121,35, old ,repeat,1
1.33569530859537,36, old ,repeat,0
1.09639364364149,37, old ,repeat,0
0.399257946299951,38, old ,repeat,0
1.03847432876184,39, old ,repeat,1
0.868907629986864,1,young,  ID  ,1
1.67023908906494,2,young,  ID  ,1
2.41745950684723,3,young,  ID  ,1
1.60727891922353,4,young,  ID  ,0
1.34612423771766,5,young,  ID  ,1
2.07028986740904,6,young,  ID  ,1
4.23687594434046,7,young,  ID  ,1
-0.359961917012459,8,young,  ID  ,1
-0.484113248505084,9,young,  ID  ,1
1.24054848469838,10,young,  ID  ,1
1.33356794474551,11,young,  ID  ,0
2.13383573434732,12,young,  ID  ,0
2.77222507818651,13,young,  ID  ,0
0.877471843702386,14,young,  ID  ,1
2.51393577458764,15,young,  ID  ,1
0.757173608397135,16,young,  ID  ,0
1.68490799619468,17,young,  ID  ,1
2.05165773313638,18,young,  ID  ,1
1.77816306856415,19,young,  ID  ,1
4.08252680993327,20,young,  ID  ,1
0.0536058794037678,21, old ,  ID  ,1
0.788152509153823,22, old ,  ID  ,1
-0.393769443269625,23, old ,  ID  ,1
-0.595671195282472,24, old ,  ID  ,1
0.048675895772788,25, old ,  ID  ,1
1.19758864236704,26, old ,  ID  ,1
-1.32338217236973,27, old ,  ID  ,0
0.333000370301441,28, old ,  ID  ,1
0.866591226900871,29, old ,  ID  ,1
1.02216776399411,30, old ,  ID  ,1
0.765119312088418,31, old ,  ID  ,1
0.33391531262364,32, old ,  ID  ,0
-2.06996027291913,33, old ,  ID  ,0
1.67070188341335,34, old ,  ID  ,1
0.902002919912735,35, old ,  ID  ,1
1.01279816646784,36, old ,  ID  ,0
0.272660582341233,37, old ,  ID  ,0
0.455960270699298,38, old ,  ID  ,0
0.907028947381355,39, old ,  ID  ,1
1.42548908678078,1,young,  ED  ,1
3.47003124994303,2,young,  ED  ,1
3.4773333938556,3,young,  ED  ,1
1.49654669954852,4,young,  ED  ,0
2.08396073253772,5,young,  ED  ,1
2.01951690203335,6,young,  ED  ,1
4.70762191413219,7,young,  ED  ,1
0.153497959051224,8,young,  ED  ,1
0.0260900290243014,9,young,  ED  ,1
0.427425262425974,10,young,  ED  ,1
1.20616860833583,11,young,  ED  ,0
2.33576777562281,12,young,  ED  ,0
3.15622230148161,13,young,  ED  ,0
1.7777848280594,14,young,  ED  ,1
3.17120306593936,15,young,  ED  ,1
1.42127786203262,16,young,  ED  ,0
1.33702163565886,17,young,  ED  ,1
1.89833952948081,18,young,  ED  ,1
0.780662474958294,19,young,  ED  ,1
4.18180430405796,20,young,  ED  ,1
0.305297463935676,21, old ,  ED  ,1
-0.432967117555379,22, old ,  ED  ,1
0.0160459827147524,23, old ,  ED  ,1
-0.624516851433233,24, old ,  ED  ,1
0.452269846348044,25, old ,  ED  ,1
0.472420784640808,26, old ,  ED  ,1
-1.4577943124812,27, old ,  ED  ,0
1.10887016948762,28, old ,  ED  ,1
0.460227667746759,29, old ,  ED  ,1
1.25535232187248,30, old ,  ED  ,1
0.487540576760225,31, old ,  ED  ,1
0.617238249655762,32, old ,  ED  ,0
-2.13536844141308,33, old ,  ED  ,0
1.71326684213518,34, old ,  ED  ,1
1.24358323333354,35, old ,  ED  ,1
0.0584291170657424,36, old ,  ED  ,0
0.256984450760721,37, old ,  ED  ,0
0.56911481631347,38, old ,  ED  ,0
1.24645560815056,39, old ,  ED  ,1
